Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	86.4651688669274	-0.482093403533335	0.0584353413799067	-8.25003143900695	1.58352861572305e-16	5.10712172076392e-16
A1BG-AS1	31.3106336315107	-0.165588166660612	0.0877501078128152	-1.88704231582071	0.0591546343130649	0.0817959757646144
A1CF	0.497311448286474	0.038920202496134	0.522412812020958	0.0745008575604623	0.940611858830466	0.952918929880585
A2M	15.1610529871089	-1.10233927832765	0.215042060800221	-5.12615659571707	2.95716674748506e-07	6.24176633555052e-07
A2M-AS1	76.9728563723255	-0.210698613358284	0.0671132364940998	-3.13944944939151	0.00169265615592987	0.0027972415781638
A2ML1	16.4433725031604	-1.89947109673911	0.176631486214041	-10.7538646560294	5.68295163506993e-27	2.74484374011783e-26
A2MP1	15.058625390372	-0.94809137779927	0.197718624960665	-4.79515461928732	1.62549404737852e-06	3.30403989723584e-06
A4GALT	612.498585849558	-0.74964860198731	0.0634122043081385	-11.8218347740215	3.01037014123806e-32	1.74077170739297e-31
A4GNT	0.11802439048693	0.380509878792588	0.81388276338763	0.467524188875544	0.640124890165595	0.699186522188499
AA06	0.0312015019138643	-0.836702785396163	0.672152359811291	-1.24481119969745	0.213201158331945	NA
AAAS	1731.4498531218	-0.0346439569405303	0.0219141322262383	-1.58089567877346	0.113901892535768	0.150295338394019
AACS	2823.92871261591	0.241591426025965	0.0212005058200235	11.3955500909694	4.40041909988168e-30	2.37348049029121e-29
AACSP1	4.90959559303252	0.0693203903046478	0.209288336085711	0.331219558629673	0.740478647602331	0.786940052942085
AADAC	0.622610726889175	-0.547802624741257	0.479876015832149	-1.14155033106065	0.253640979741243	0.312343641862505
AADACL2	0.0370228123410662	-0.0150362780106236	0.674681567630202	-0.0222864811075809	0.982219432718635	NA
AADACL3	0	NA	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA	NA
AADAT	177.478097354616	-0.341617710174404	0.0487808115976195	-7.00311657362983	2.50330370976184e-12	6.73932777494481e-12
AAED1	282.340809195404	-0.244354094743069	0.0360991765953074	-6.76896588203157	1.29706122261269e-11	3.38820708066627e-11
AAGAB	4765.4712863091	0.326985170575536	0.022115408814343	14.7854002302444	1.81972386928043e-49	1.87719868696244e-48
AAK1	1464.93983727145	0.939617224223311	0.0628611408703798	14.9475051075005	1.61694362485501e-50	1.72113521511902e-49
AAMDC	369.36112738613	-0.70020840306044	0.0543931959417673	-12.8730880937769	6.37994028869414e-38	4.47041658104375e-37
AAMP	7126.21616482962	0.0689206086467986	0.0222955652249268	3.09122500154176	0.0019933252547674	0.00327334954627459
AANAT	3.29993659750073	0.453826628314922	0.254131511285742	1.78579439448044	0.0741325546811517	0.100906417672967
AAR2	1435.36478889375	-0.198017844552963	0.0324063771093213	-6.11045918169006	9.93448851324935e-10	2.37967310851293e-09
AARD	77.8479336128328	-0.262259872954682	0.0715986150098573	-3.66291824106619	0.000249358145937877	0.0004415565791292
AARS	16601.2451223153	0.624292960740856	0.0478680312135553	13.0419602585215	7.06177593329616e-39	5.09413145922019e-38
AARS2	961.74253030922	0.46021250181254	0.045050626947726	10.2154516594529	1.69089825464697e-24	7.47229475511026e-24
AASDH	317.661123066087	-0.297201792877587	0.038213191749298	-7.77746582456167	7.39917493088124e-15	2.22964769442363e-14
AASDHPPT	808.065465597809	-0.244714701489935	0.0403701276241396	-6.0617767614786	1.34625986041195e-09	3.20297725005353e-09
AASS	70.1431841429036	-0.827203162658177	0.212897202190416	-3.885458118507	0.000102137100690404	0.000185614627752185
AATF	1836.27448608141	0.226686581022809	0.0274636585425911	8.25405619834879	1.53107302363603e-16	4.93873868682595e-16
AATK	23.9361077277294	0.541316465523036	0.112898097072973	4.79473507133738	1.62889955454067e-06	3.31062649911407e-06
AATK-AS1	1.9947941103868	0.919437047013179	0.35209238611166	2.61135168859231	0.00901850962167461	0.0138971255534857
ABAT	5509.87291268187	-0.306295558694064	0.0248641021052796	-12.318786232342	7.17662961441161e-35	4.52721391278422e-34
ABCA1	1121.24881757829	1.35625972540757	0.150720070696215	8.99853429700938	2.28751062255581e-19	8.28344854184438e-19
ABCA10	20.3375424917998	-2.19293879320586	0.11899118085795	-18.4294228983555	7.62925480849856e-76	1.83890716261575e-74
